name,symptoms 
Difteria,"A difteria é uma doença infectocontagiosa causada pela bactéria Corynebacterium diphtheriae, que pode infectar tanto crianças quanto adultos não vacinados, já que essa moléstia pode ser evitada por imunização.Esse agente bacteriano se multiplica na garganta e, inicialmente, forma uma pseudomembrana de pus sobre as amígdalas, a faringe, a laringe e a divisão entre a cavidade oral e nasal – o pálato –, que costuma dificultar bastante a respiração, sobretudo em crianças pequenas, a ponto de causar asfixia.Além desse risco, são bastante severos os efeitos sistêmicos decorrentes da toxina que a bactéria produz depois de se instalar na garganta. Uma vez na circulação, essa substância bloqueia a produção de proteínas nos tecidos orgânicos, comprometendo gravemente o funcionamento do coração, dos nervos e dos rins.Felizmente, a vacinação em massa, ao longo dos anos, reduziu expressivamente a incidência da difteria em todo o mundo. Para ter uma idéia, em 1991, o Brasil registrava quase 500 casos da infecção. Hoje, o número de infectados não chega a 5% desse total."
Dismenorreia,"A dismenorréia, também chamada de cólica menstrual, é a dor pélvica que ocorre alguns dias antes ou nos primeiros dias do período da menstruação. Na imensa maioria dos casos, não está relacionada com qualquer doença ou lesão nos órgãos pélvicos, refletindo apenas uma reação natural do organismo motivada por uma substância hormonal, a prostaglandina, que faz o útero se contrair.Em tais circunstâncias, portanto, a cólica é considerada primária e se concentra nos três primeiros anos após o primeiro ciclo, diminuindo com o tempo, por volta dos 20 anos, ou até a primeira gravidez.Nos demais casos, porém, a dismenorréia tem como estopim algum distúrbio ginecológico, sendo classificada como secundária. Estima-se que metade das mulheres em idade fértil já tenha tido cólica menstrual em algum momento da vida.Por haver essa possibilidade de a dor ser patológica, sempre convém procurar um ginecologista, especialmente nos quadros dolorosos incapacitantes, para esclarecer a origem do problema e receber o tratamento adequado, ainda que não haja nenhuma moléstia por trás do sintoma.Hoje em dia, com tantos recursos terapêuticos disponíveis, ninguém mais precisa sofrer de dor até que a natureza se encarregue de cessá-la."
Diverticulite,"A diverticulite é a inflamação dos divertículos, ou seja, de pequenas bolsas, hérnias ou dilatações saculiformes que se formam em pontos frágeis na mucosa do intestino grosso – o cólon – em decorrência do aumento constante da pressão nesse segmento para a eliminação das fezes.Em geral, os divertículos costumam  aparecer depois dos 50 anos, acompanhando o envelhecimento do ser humano, e passam despercebidos em muitas pessoas. Estima-se que 30% da população mundial tenham esse problema, que, contudo, só incomoda em cerca de 10% a 15% dos casos.O fato é que, como acumulam fezes em seu interior, essas hérnias, sob condições apropriadas, podem funcionar como um meio ideal para  a proliferação de bactérias – daí porque se inflamam. Quando as hérnias existem, mas sem inflamação, diz-se tratar-se de diverticulose ou doença diverticular.Apesar de poder ser facilmente tratada em 80% de seus portadores, essa inflamação traz consigo um risco iminente de complicações, entre as quais a formação de conexões anormais (ou fístulas) entre o intestino grosso e outros órgãos próximos – especialmente com a bexiga –, a perfuração intestinal e a infecção da cavidade abdominal, ou seja a peritonite, causada pela migração do conteúdo intestinal para essa região.A diverticulite afeta especialmente a população da terceira idade e, entre eles,  tem predileção por indivíduos que fazem tratamentos para o câncer, pelos diabéticos e todas as pessoas com o sistema imunológico comprometido."
Doença celíaca,"A doença celíaca é uma condição clínica genética que se caracteriza por intolerância permanente ao glúten, uma proteína presente no trigo, no centeio, na cevada, na aveia e no malte.Nessa moléstia, o sistema imunológico agride a mucosa do intestino delgado reduzindo sua superfície, que faz contato com os alimentos. Com isso, o órgão perde a capacidade de absorver os nutrientes dos alimentos. Por conseqüência, o portador dessa intolerância se enfraquece e desenvolve diversas doenças e condições decorrentes da má absorção, desde desnutrição e déficit de peso e crescimento até anemia e osteoporose.Além disso, os celíacos possuem um risco maior de surgimento de câncer no intestino delgado, por conta da constante agressão à sua mucosa, quando o tratamento não é seguido corretamente.Apesar de tais conseqüências, a condição é de fácil tratamento, o qual, precisa ser feito ao longo de toda a vida, ainda que o indivíduo passe a não ter os sintomas iniciais.Muito comum na população mundial, a doença celíaca afeta uma em cada 250-300 pessoas, embora seja rara em africanos, chineses e japoneses."
Doença de Alzheimer,"A doença de Alzheimer, que recebeu esse nome por ter sido descrita pelo neurologista alemão Alois Alzheimer, em 1906, é uma doença degenerativa, considerada como a principal causa de demência no mundo todo. Ela deteriora as funções cerebrais, levando progressivamente à perda da memória, da linguagem, da razão e da habilidade de o indivíduo cuidar de si próprio.Nessa enfermidade, ocorre a deposição, em algumas áreas do cérebro, de placas de proteína, chamadas de amilóides ou senis, que prejudicam a função cerebral e levam à destruição das regiões afetadas. Também são observadas alterações estruturais nas células do sistema nervoso, os neurônios, levando à diminuição na produção de neurotransmissores, que são substâncias químicas produzidas pelos neurônios, muito importantes para o desenvolvimento de algumas funções cerebrais. Como exemplo, temos a acetilcolina que é um neurotransmissor que participa dos processos de aprendizado e memória.Fortemente relacionada com o envelhecimento da população, a doença de Alzheimer soma 100 mil casos novos a cada ano apenas no Brasil, sobretudo em pessoas com mais de 65 anos.Apesar de o quadro evoluir inexoravelmente para a demência, algumas abordagens podem minimizar os sintomas ou permitir uma sobrevida com mais qualidade para os portadores."
Doença de Chagas,"A doença de Chagas é uma moléstia infecciosa causada pelo protozoárioTrypanosoma cruzi, transmitido ao homem por um inseto de nome triatoma. Este inseto é muito conhecido das populações rurais de várias regiões do Brasil.De tamanho relativamente grande, geralmente preto ou acinzentado, tem hábitos noturnos e se alimenta somente de sangue, por isto é chamado “hematófago”. Vive nas frestas das casas de pau-a-pique, em ninhos de pássaros, em tocas de animais, em cascas de troncos de árvores e costumam picar as pessoas quase sempre no rosto, durante o sono, razão pela qual é conhecido como barbeiro.Outros nomes populares do triatoma são: chupão, chupança, bicudo, fincão ou procotó. A doença de Chagas recebeu este nome em homenagem ao brilhante médico e cientista brasileiro Carlos Chagas, que desvendou todo o complexo ciclo da doença. O maior problema do mal de Chagas está no risco de a infecção se tornar crônica, o que ocorre em um terço dos infectados, afetando silenciosamente o coração, o intestino grosso e o esôfago, que ficam com dimensões aumentadas e, por conta disso, têm suas funções seriamente comprometidas.Estima-se que existam de 10 a 12 milhões de pessoas com o mal de Chagas nas Américas do Sul e Central, dos quais metade estão no Brasil, onde o maior número de casos se concentra em Minas Ginais e na Bahia."
Doença de Creutzfeldt-Jakob,"A doença de Creutzfeldt-Jakob (DCJ) recebeu esse nome por causa de dois neurologistas que a descreveram no início do século passado – Hans Creutzfeldt e Alfons Maria Jakob. Ela é uma condição que afeta o cérebro, ocasionando extensas lesões que ocasionam a rápida instalação de demência e distúrbios do movimento.Durante muitos anos, acreditou-se que ela seria causada por um vírus que, agindo de forma lenta, levaria a uma progressiva destruição dos tecidos cerebrais, que ficava com aspecto esponjoso, o fez com que ela fosse chamada de encefalopatia espongiforme. Mais recentemente foi demonstrado que a DCJ é determinada não por um agente infeccioso tradicional, como um vírus ou bactéria, mas pela mudança na conformação de uma proteína que habitualmente está presente no organismo e que foi denominada partícula protéica infecciosa. Essa alteração na conformação da proteína priônica pode ocorrer de forma espontânea, ser determinada por uma mutação no gene que a codifica ou ser causada pela ingestão ou inoculação acidental de partícula de príon que tenha conformação anômala.Esse mecanismo de transmissão desafiou por muitos anos centenas de pesquisadores, pois o conceito de que uma proteína poderia ter um caráter infeccioso levou muito tempo para ser concebido e aceito. A presença de príon anômalo leva, por sua vez, à “conversão” das partículas priônicas que têm conformação normal e à formação de agregados insolúveis, que terminam por destruir as células do sistema nervoso.Há muitos anos, já era conhecida uma doença neurodegenerativa com características muito similares, denominada scrapie, que afetava carneiros. Essa doença era endêmica entre os ovinos e permaneceu assim por muitos anos. No entanto, na fabricação de ração para consumo animal, muitas vezes eram utilizados resíduos de abatedouros de carneiros, que algumas vezes eram portadores de scrapie. Nos décadas de 80 e 90, a ingestão desta ração por outras espécies animais, principalmente bovinos, levou à transmissão das partículas infecciosas e à eclosão da epidemia, que ficou conhecida como “doença da vaca louca”.A partir do consumo de produtos de origem bovina contaminados pelo príon com conformação anômala, a doença foi transmitida para o ser humano, o que ficou conhecido como epidemia de variante da DCJ (vDCJ) e que afetou especialmente habitantes do Reino Unido. Uma condição similar, que ficou conhecida como kuru, já havia sido registrada entre habitantes da Nova Guiné, mas nesse caso a transmissão era causada pelo canibalismo ritualístico, praticado por certas tribos.Qualquer que seja a causa e o modo de aquisição, essa infecção sempre tem curso muito rapidamente progressivo e fatal. Felizmente, sua incidência é baixíssima em todo o mundo, com cerca de 0,5 a 1,5 casos por milhão de habitantes a cada ano. No Brasil, no período de 1980 a 1999, foram registrados 105 óbitos por DCJ, mas até o momento não houve qualquer notificação da vDCJ."
Doença de Crohn,"A doença de Crohn é uma inflamação crônica que compromete todo o tubo digestivo, da boca até o reto e o ânus, embora a porção terminal do intestino delgado – o íleo – seja a parte mais afetada, assim como o segmento inicial do intestino grosso – o ceco.A moléstia, que leva o nome do médico que a descreveu em 1932, Burril B. Crohn, deriva de um descontrole do sistema imunológico. Num portador da doença de Crohn o sistema imunológico está continuamente em atividade agredindo as paredes intestinais, afetando todas as suas camadas e causando lesões importantes.Essa situação provoca aumento da velocidade da eliminação das fezes, esfoliação das mucosa intestinal, dificuldade para absorver os nutrientes e desnutrição.Sem tratamento, com o passar do tempo outras graves complicações começam a surgir, desde a formação de coleções de pus dentro do abdome – os abscessos –, passando por obstruções intestinais e sangramentos digestivos.A Doença de Chron é um fator predisponente ao desenvolvimento do câncer colorretal. Não se conhece ainda a prevalência da doença no Brasil. Sabe-se, porém, que a freqüência é baixa na América do Sul e elevada na América do Norte, sobretudo nos Estados Unidos, onde se estima que haja 600 mil portadores dessa moléstia.A inflamação costuma se manifestar dos 20 aos 40 anos, em proporção semelhante entre homens e mulheres."
Doença de Gaucher,"Descrita pela primeira vez pelo médico francês Philippe Charles Ernest Gaucher, em 1882, a doença de Gaucher é uma moléstia genética decorrente da deficiência da enzima betaglicocerebrosidase, ou betaglicosidase, cuja função é digerir o glicocerebrosídeo, um tipo de gordura resultante dos resíduos das células que todos os dias morrem e são substituídas por outras novas.O mau funcionamento da enzima, considerado um erro inato do metabolismo, leva esse lipídio a se acumular nas células de limpeza do organismo, os macrófagos, que, com isso, incham e passam a se depositar na medula óssea, a parte interna do osso, assim como no baço e no fígado, aumentando visivelmente as dimensões desses órgãos – tanto que uma das características da doença é o formato grande e arredondado do abdome. Esse depósito anormal dos macrófagos, ou células de Gaucher, determina diversas consequências ao organismo, especialmente problemas ósseos, que se tornam mais fracos e mais sujeitos a fraturas, e transtornos hematológicos, entre os quais a anemia e a queda acentuada no nível das plaquetas, que atuam no sistema de coagulação e, em menor número, favorecem as hemorragias.A doença pode se apresentar de três formas em crianças e adultos. A mais comum é a do tipo 1, que não provoca comprometimento neurológico e está presente em um a cada 40.000-50.000 nascimentos. Os tipos 2 e 3 afetam o sistema nervoso, o primeiro mais raramente e de modo mais severo e o segundo de maneira mais branda, mas nem por isso menos importante."
Doença de Parkison,"A doença de Parkinson, ou parkinsonismo primário, é uma moléstia crônico-degenerativa do sistema nervoso central que acomete a região cerebral que auxilia a execução dos movimentos.Nessa condição, descrita pela primeira vez pelo médico inglês James Parkinson, em 1817, ocorre uma perda de neurônios numa área chamada de substância negra, que concentra as células produtoras de dopamina, um neurotransmissor essencial para o controle da motricidade. Com a diminuição da quantidade de dopamina, o portador da doença passa a apresentar tremores e lentificação dos movimentos.A evolução do quadro compromete a autonomia do indivíduo, dificultando inicialmente a execução das atividades cotidianas e, com o passar do tempo, limitando significativamente sua capacidade de se movimentar, sem afetar, na maioria das vezes, sua capacidade intelectual. Hoje em dia, contudo, há um arsenal razoável de medicamentos para controlar os sintomas motores e melhorar a qualidade de vida dessas pessoas.A doença de Parkinson é uma das afecções neurológicas mais freqüentes em todo o mundo. Segundo a Organização Mundial de Saúde, 1% da população de todo o globo com mais de 65 anos é portadora da condição, estimando-se que, na população geral, ela ocorra em uma em cada 500 pessoas."
Doença do Refluxo Gastroesofágico,"A doença do refluxo gastroesofágico é uma condição na qual ocorre refluxo patológico do conteúdo gástrico presente no estômago para o esôfago. É bastante prevalente, atingindo homens e mulheres com igual freqüência e tendo maior prevalência após os 40 anos. Numa situação normal, o material gástrico não reflui porque existe no final do esôfago uma válvula – o esfíncter esofagiano – que se abre para a descida dos alimentos, mas se fecha para bloquear o retorno de qualquer líquido do estômago.Na doença do refluxo, há sempre alguma alteração nesse mecanismo de barreira, que, assim, não funciona adequadamente, permitindo a subida do suco gástrico. Esse material ácido agride o esôfago e causa sintomas de indigestão, dos quais o mais comum é a azia, ou queimação. O refluxo, porém, pode chegar até a boca, provocando alterações dentárias e halitose, assim como invadir a laringe e os pulmões, determinando queixas respiratórias.Contudo, a maior conseqüência dessa doença é a inflamação do esôfago, denominada esofagite, que, sem tratamento, pode estreitar a região, dificultando a deglutição, ou dar origem a alterações na mucosa do esôfago, que, para se defender da agressão continuada, se torna semelhante à mucosa estomacal. Essa mudança na constituição dos tecidos locais acarreta mutações nas células, levando a um aumento no risco de desenvolvimento de câncer de esôfago.Por isso, quem chega a tal estágio precisa de acompanhamento médico periódico para rastrear precocemente o surgimento de qualquer lesão suspeita."
Doença por depósito de pirofosfato de cálcio,"A doença por depósito de pirofosfato de cálcio, antigamente denominada pseudogota ou condrocalcinose, consiste em um tipo de inflamação causada pela deposição anormal de cristais de pirofosfato de cálcio na cartilagem das articulações. Este reumatismo tem como característica o fato de apresentar crises dolorosas agudas recorrentes em uma mesma articulação, principalmente nos joelhos.O termo pseudogota era utilizado popularmente como uma alusão a outra moléstia reumática também provocada por acúmulo de cristais, a gota, que, no entanto, decorre da concentração de partículas de urato monossódico (provenientes do ácido úrico) nas articulações. Já os cristais de pirofosfato de cálcio derivam da combinação do cálcio com subprodutos do fósforo e parecem não ter influência da alimentação, tal como ocorre na gota.O fato é que a presença desses cristais provoca uma intensa reação inflamatória na articulação acometida, desencadeando crises agudas de dor, que, em longo prazo, podem resultar em degeneração da junta e incapacidade de funcionamento da mesma. As artrites causadas pelo depósito de cristais são denominadas doenças microcristalinas e são tipicamente mais freqüentes em adultos, sobretudo após os 60 anos de idade."
Doença pulmonar obstrutiva crônica,"A doença pulmonar obstrutiva crônica (DPOC) caracteriza-se pela obstrução parcial dos canais que levam o ar para dentro e para fora dos pulmões – os brônquios – e pela redução progressiva da capacidade de respirar. Essa doença, que afeta mais de 3 milhões de brasileiros, 90% dos quais fumantes, reúne duas condições clínicas que cursam lado a lado nessa população: a bronquite crônica e o enfisema pulmonar.Na bronquite crônica, o sistema natural de limpeza dos pulmões, prejudicado pela fumaça, não elimina adequadamente a secreção local, que tem sua produção aumentada numa tentativa de varrer as substâncias nocivas do cigarro. Como resultado desse processo, os brônquios se inflamam e se estreitam, dificultando a passagem de ar e causando uma tosse permanente – a tosse dos fumantes.Já o enfisema consiste no aumento e na destruição dos alvéolos pulmonares, ou seja, dos pequenos sacos de ar de onde o oxigênio sai para ganhar a corrente sangüínea, os quais dão lugar a grandes bolsas de ar. Com isso, os pulmões vão perdendo a elasticidade e, progressivamente, ficando incapazes de expelir o ar por falta de força.A dificuldade de expirar, aliada à inflamação e ao estreitamento dos brônquios, leva o portador da DPOC a ter de fazer um esforço cada vez maior para respirar, o que se reflete de forma negativa em outros órgãos, particularmente no coração."
Embolia pulmonar,"A embolia pulmonar, ou tromboembolismo pulmonar (TEP), é uma condição potencialmente grave que ocorre pela migração de um êmbolo ou coágulo para o pulmão. Geralmente este coágulo é formado em alguma veia do corpo, sobretudo nos membros inferiores, se desprende e segue pela circulação venosa até os pulmões, onde obstrui a passagem do sangue por uma artéria.A repercussão dessa oclusão depende do tamanho do trombo, da área afetada e da existência de circulação local que possa suprir esta deficiência. No entanto, em casos de trombos grandes, a interrupção da circulação pode causar desde danos pulmonares na região irrigada pela artéria acometida, em decorrência da falta de oxigênio, até mesmo morte súbita.Como a trombose venosa profunda (TVP) é a principal responsável pela ocorrência de tromboembolismo pulmonar, qualquer suspeita de coágulo nos membros inferiores deve ser prontamente avaliada e tratada para evitar a migração para o pulmão ou a obstrução da circulação de outros órgãos. Se, contudo, já existirem condições desfavoráveis de circulação no pulmão, torna-se uma emergência pelo risco de mortalidade, que se torna mais elevado.Estima-se que cinco em cada 10 mil pessoas apresentem um episódio de tromboembolismo pulmonar na população geral."
Encefalite,"A encefalite é uma inflamação do cérebro desencadeada pela presença de um agente infeccioso, habitualmente um vírus. Quando esse microrganismo agride diretamente o tecido cerebral, diz-se que essa encefalite é por invasão direta. Quando essa inflamação é uma reação desencadeada por um agente infeccioso em outra parte do corpo, até mesmo alguns dias antes da eclosão dos sintomas, ela é chamada de encefalite imunoalérgica.Tanto a presença direta do microrganismo quanto a reação à sua presença em outra parte do corpo podem levar à inflamação do cérebro, que se manifesta por alteração da consciência – confusão mental, sonolência, etc. -, associados a sinais de fraqueza em alguma parte do corpo e crises convulsivas.A encefalite pode ocorrer em qualquer idade e por diferentes agentes infecciosos, mas ela é mais freqüente em indivíduos que apresentem deficiência imunológica."
Endometriose,"A endometriose é uma doença caracterizada pela implantação de fragmentos do tecido que reveste a parte interna do útero – o endométrio – fora da cavidade uterina.Essa condição tem sido estudada há muitos anos, mas seus mecanismos ainda não são totalmente conhecidos. Supõe-se que, quando a mulher menstrua, minúsculos pedaços do endométrio, em vez de serem eliminados, subam pelas trompas, implantem-se na cavidade abdominal adjacente e cresçam sob a ação dos hormônios.O problema é que, a cada ciclo menstrual, esse tecido endometrial implantado em outras regiões abdominais – sobretudo nos ovários, nas trompas, na superfície externa do útero e na área entre a vagina e o reto – também sangra, provocando sintomas incômodos e algumas vezes incapacitantes.Apesar disso, a endometriose não costuma evoluir para formas mais graves ou para câncer. Sua conseqüência mais importante é a infertilidade, que pode ocorrer em mulheres com a trompa obstruída ou deformada, ou mesmo por uma combinação de fatores hormonais e imunológicos.Estima-se que de 10% a 15% da população feminina em idade reprodutiva tenha endometriose, mas nem todas as mulheres apresentam dificuldade para engravidar."
Enxaqueca,"Também chamada de migrânea, a enxaqueca não é apenas um dos tipos mais comuns de cefaléia, mas uma síndrome neurológica decorrente de alterações bioquímicas no cérebro. "
Epilepsia,"A epilepsia é uma disfunção neurológica causada por uma descarga elétrica anormal e excessiva do cérebro, que interrompe temporariamente sua função habitual, provocando alterações súbitas e involuntárias no comportamento, no controle muscular, na consciência e/ou na sensibilidade do indivíduo.Estima-se que haja 60 milhões de epilépticos em todo o mundo, dos quais 3 milhões somente no Brasil. As crises podem ocorrer em qualquer idade, mas têm início mais freqüentemente na primeira e nas últimas décadas da vida, neste último caso geralmente em decorrência de alguma doença, como o acidente vascular cerebral. Apesar da alta prevalência, a epilepsia ainda é cercada de tabus, que vão do receio de ela ser contagiosa até a associação do quadro com problemas espirituais.Como se não bastasse, diante de um ataque epiléptico, quem está ao redor não sabe o que fazer e quem sofre a crise fica inseguro e envergonhado. Contudo, essa disfunção pode ser facilmente tratada na maioria dos casos, de forma que a pessoa possa levar uma vida normal, sem sequer se lembrar de que pode vir a ter uma crise. Prova disso é que a história da humanidade está recheada de personagens que, não obstante a epilepsia, levaram muito mais que uma vida normal, entre eles Alfred Nobel, Dostoievski, Machado de Assis, Júlio César, Flaubert, Alexandre, o Grande e Dom Pedro I, só para citar alguns."
Escarlatina,"A escarlatina é uma doença infectocontagiosa que atinge crianças e adolescentes, consistindo em uma infecção de garganta acompanhada de manchas na pele vermelho vivo, escarlate – daí seu nome.A reação de muitas pessoas diante de um diagnóstico de escarlatina é de susto porque, de fato, a doença era considerada perigosa num passado distante porque não havia medicamentos capazes de eliminar a bactéria causadora do quadro. Com o advento da penicilina, no entanto, tudo mudou.A infecção pode ser combatida com facilidade e só evolui para forma mais grave se não for adequadamente tratada, causando sobretudo nefrite e febre reumática."
Esclerose múltipla,"A esclerose múltipla é uma doença inflamatória crônica que afeta o cérebro e a medula espinhal e se caracteriza por destruição, mediada pelo sistema imunológico, da mielina, que nada mais é do que um revestimento das fibras nervosas. Ela faz com que a velocidade de comunicação entre os neurônios aumente e que não ocorra a dispersão da atividade elétrica gerada pela transmissão do estímulo nervoso.Quando um determinado comando encontra, em seu trajeto natural, uma interrupção da mielina, a informação não segue adiante ou, então, o faz com menor velocidade, o que impede sua adequada efetivação. A esclerose múltipla afeta pessoas jovens, entre 20 e 40 anos, sendo mais comum em mulheres que vivem no Hemisfério Norte, onde ocorrem pelo menos cem casos a cada 100 mil habitantes."
Esquistossomose,"A esquistossomose é uma doença parasitária provocada pelo Schistosoma mansoni, um verme que, antes de se hospedar no organismo humano definitivamente, precisa de caramujos para completar seu ciclo de vida. Uma vez desenvolvidas, as larvas desses parasitas penetram na pele do homem e se alojam nas veias do intestino e do fígado, podendo causar uma infecção crônica inicialmente silenciosa e lenta, mas com risco de graves complicações, a exemplo da cirrose hepática.Apesar disso, a infecção é de fácil tratamento quando corretamente identificada. Existem cerca de 80 países considerados como regiões endêmicas de esquistossomose, todos eles com carência de saneamento básico, onde há cerca de 200 milhões de infectados. O Brasil lamentavelmente está entre eles, com uma estimativa de 12 milhões de portadores do Schistosoma mansoni, os quais se distribuem nos Estados de Minas Gerais, Pernambuco, Bahia, Paraíba, Rio Grande do Norte, Alagoas, Sergipe e Espírito Santo."
Febre Amarela,"A febre amarela é uma doença infecciosa provocada por um vírus que ingressa no corpo humano pela picada de mosquitos. A infecção, que pode ser prevenida por imunização, ocorre em regiões de florestas e cerrado, exclusivamente em países da América do Sul, da América Central e da África, afetando pessoas não vacinadas e não-imunes em áreas urbanas, silvestres ou rurais.As cinco regiões brasileiras possuem pontos de transmissão da febre amarela, mas o problema salta aos olhos no Norte e no Centro-Oeste, onde todos os municípios são considerados áreas de risco. Na maioria dos indivíduos, a doença cursa de maneira benigna, como outras moléstias infecciosas, melhorando naturalmente depois de alguns dias.Cerca de 15% dos doentes, porém, apresentam a forma grave da infecção, na qual, depois de uma aparente melhora, os sintomas voltam a se intensificar e são acompanhados de complicações hemorrágicas e severo comprometimento dos rins e do fígado, requerendo cuidados médicos intensivos – nem sempre suficientes para reverter o quadro, vale sublinhar.É esse risco que torna a febre amarela uma moléstia temida, já que, diante de uma infecção, é impossível saber se haverá evolução para sua apresentação mais grave. Contudo, a vacinação funciona como uma grande aliada da população que reside em áreas endêmicas e, sobretudo, dos viajantes que visitam tais regiões, que, afinal, formam o grupo mais suscetível."
Febre Reumática,"A febre reumática (FR) é um tipo de reumatismo que acomete crianças a partir dos 3 anos de idade, embora seja mais comum dos 5 aos 15 anos. É uma doença rara em países desenvolvidos, mas relativamente comum no Brasil.Trata-se de uma complicação inflamatória tardia de infecções de garganta causadas por uma bactéria chamada estreptococo. Entretanto, estima-se que, do total de crianças que tenham faringites, apenas de 2,5% a 4% desenvolvam esse quadro de febre reumática. Nesta doença podem ser afetadas as articulações, o coração, o sistema nervoso e a pele.As manifestações cardíacas são as mais graves, uma vez que podem lesar as valvas do coração e comprometer suas funções, limitando a qualidade vida do paciente em curto e em longo prazo. O comprometimento cardíaco da febre reumática ainda é uma das causas mais freqüentes de cirurgias cardíacas em indivíduos adultos.Embora a origem dessa doença esteja vinculada à presença do estreptococo, existem outros fatores implicados no desenvolvimento da mesma. Sabe-se que ocorre uma resposta inapropriada do sistema imunológico, que leva à produção de anticorpos contra proteínas do próprio organismo, devido a uma semelhança destas com a proteína M presente na membrana do estreptococo. Esses anticorpos podem então causar danos em tecidos articulares, na pele, no sistema nervoso e no coração."
Febre maculosa,"A febre maculosa, também chamada de febre do carrapato, é uma infecção febril aguda causada pela bactéria Rickettsia rickettsii, transmitida por carrapatos infectados. A doença se caracteriza por febre, seguida pelo surgimento de manchas de pele róseas, que, alguns dias depois, ficam salientes e com uma coloração mais forte – são as máculas, daí o nome maculosa. Pode cursar de forma branda, às vezes até assintomática, mas também de forma grave, o que ocorre em cerca de 30% a 40% dos casos, com manifestações hemorrágicas e comprometimento dos rins, dos pulmões e do sistema nervoso central. Contudo, não é possível saber, de antemão, se a infecção vai evoluir para sua apresentação mais grave, que tem alto risco de mortalidade. Embora seja pouco freqüente, quando comparada a outras moléstias infecciosas transmitidas por vetores, a febre maculosa tem uma incidência constante no País. De 1995 a 2004, por exemplo, foram registrados 345 casos, sobretudo na zona rural de Estados como São Paulo, Minas Gerais, Espírito Santo, Santa Catarina, Bahia, Pernambuco e Rio de Janeiro. Estima-se, porém, que o número de ocorrências a cada ano seja maior, uma vez que os indivíduos que apresentam sintomas mais brandos acabam não procurando atendimento médico. Além do mais, existe a agravante de o diagnóstico ser dificultado no início, pela semelhança dos sintomas com os de outras doenças que cursam com manchas, como o sarampo e a rubéola. Por via das dúvidas, portanto, é fundamental buscar assistência médica para esclarecer o quadro e, se for o caso, receber o tratamento precocemente."
Febre tifóide,"A febre tifóide é uma doença infecciosa causada pela bactéria Salmonella typhi, transmitida principalmente por água e alimentos contaminados.Como diz o próprio nome, a infecção se caracteriza por uma febre alta prolongada, acompanhada de alterações intestinais, como diarréia com sangue e do aumento das dimensões do baço e do fígado. Cerca de 10% dos casos apresentam manchas avermelhadas no tronco. Na ausência de tratamento adequado, a doença permanece evoluindo por semanas e às vezes, até por meses.As principais complicações incluem hemorragias abdominais, perfuração intestinal, com risco de infecção da cavidade abdominal, e outros processos infecciosos severos, que podem afetar os rins, as vias urinárias, os pulmões, as válvulas cardíacas, os ossos, os músculos e o sangue. Em média, a febre tifóide pode ser fatal em 15% das pessoas que a contraem. Na maioria dos infectados, contudo, a temperatura começa a cair a partir da terceira semana e volta ao normal na quarta semana. Apesar disso, as recaídas são comuns nos indivíduos que não recebem tratamento adequado.A moléstia está presente em todo o globo, mas é mais freqüente nas regiões carentes de saneamento básico, particularmente na Índia, Américas do Sul e Central e África. Estima-se que, anualmente, ocorram de 12 milhões a 33 milhões de casos, a maior parte na Ásia e na África. No Brasil, foram registrados quase 8 mil casos confirmados de 1996 a 2005, a maioria no Norte e no Nordeste, porém com sensível queda de incidência – em 1996, houve 1.358 pessoas diagnosticadas, ante 397, em 2005."
Fenilcetonúria,"A fenilcetonúria é uma doença geneticamente determinada decorrente da abolição ou diminuição da atividade de uma enzima – a fenilalanina hidroxilase –, que é responsável por transformar a fenilalanina em tirosina. Esses dois aminoácidos encontram-se presentes em todos os alimentos-fonte de proteínas, como leite, queijos, carnes, ovos e leguminosas, a exemplo de feijão, lentilha e grão-de-bico.Com esse defeito enzimático, a fenilalanina não é transformada corretamente e se acumula no organismo mas é no cérebro que o seu excesso pode causar mais transtornos, levando a redução da capacidade intelectual e a distúrbios do comportamento. A fenilcetonúria pode ser tratada com dieta com restrição de fenilalanina, por meio da redução da oferta de proteínas e do uso de leite especiais, e com isso se impede a ocorrência dos sintomas neurológicos.Esse acompanhamento nutricional tem que ser feito de forma rigorosa, especialmente nos primeiros anos de vida, com o intuito do manter sob controle os níveis de fenilanina no sangue. No Brasil, estima-se que a fenilcetonúria incida um em cada 15 mil nascidos vivos."
